id_local,desc_situacion_local,Nombre,clase_vial_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local
270068967,Abierto,JURUCHA,CALLE,19,28001,441830.59,4475475.52
270403150,Abierto,HONTANARES,AVENIDA,2,28028,442586.58,4476524.51
270078567,Abierto,BAR MARISQUERIA LUIS,CALLE,25,28028,442986.58,4476379.5
40002021,Abierto,SAGAR,CALLE,10,28028,442972.58,4476350.5
40002808,Abierto,WAGABOO,CALLE,14,28001,441656.59,4475470.52
270495851,Abierto,THE JAMES JOYCE IRISH PUB,CALLE,59,28014,441350.59,4474585.52
40001459,Abierto,HOTEL ABBA MADRID,AVENIDA,32,28028,442926.58,4476681.5
180000457,Abierto,LA PLAZA,PLAZA,5,28031,447240.53,4470141.43
270076142,Abierto,EL NUEVO RINC?N DE JA?N,CALLE,225,28028,443565.58,4475688.49
270071068,Abierto,VIENA CAPELLANES,CALLE,127,28009,442347.58,4474952.51
280062208,Abierto,BAR LAS TORRES,CALLE,119,28021,441294.52,4465802.5
170000773,Abierto,KEBAB ARMENIA,CALLE,73,28041,441341.54,4467433.5
270075832,Abierto,CAFETERIA PARISIENA,CALLE,172,28028,443481.58,4475598.49
40001037,Abierto,BAR-RESTAURANTE,CALLE,105,28009,442069.58,4474794.51
180000598,Abierto,EL RINCON DEL TIO PEPE,CALLE,7,28031,447266.53,4469503.43
270266255,Abierto,BAR  SAN JULIAN,CALLE,4,28031,447329.53,4469664.43
200000837,Abierto,BAR JOSUE,CALLE,13,28037,446593.56,4475579.45
280067055,Abierto,RESTAURANTE BAR TORRES,COLONIA,6,28022,449558.56,4477260.41
270201818,Abierto,BONGO CAFE,CALLE,45,28021,439136.54,4466098.52
270380946,Abierto,EL ARBOL Y LA TOSTA,CALLE,89,28009,441877.58,4474703.52
210000683,Abierto,BURGER KING,CALLE,30,28042,450640.58,4480471.4
280060978,Abierto,RESTAURANTE 40 & CUATRO,AVENIDA,44,28051,448326.52,4468742.41
270202022,Abierto,BAR-RESTAURANTE,CALLE,25,28031,447532.53,4470237.43
170001120,Abierto,CERVECERIA MINERVA,CALLE,11,28021,442611.52,4466074.49
170000836,Abierto,BAR DONDE SIEMPRE,PLAZA,1,28021,441337.53,4467033.5
170001098,Abierto,LA PARADA ESQUINA,CALLE,4,28021,441702.54,4467387.5
270228707,Abierto,BURGUER CAROVI,PASEO,20,28021,439581.54,4466421.52
170000967,Abierto,A GAIVOTI?A II,CALLE,44,28041,440773.55,4467749.51
170000259,Abierto,PE?A DE FRANCIA,PASEO,2,28021,440572.54,4466762.51
270456160,Abierto,LUCKY,PASEO,48,28021,440242.54,4466570.51
170002005,Abierto,EL KUBO,CALLE,102,28041,440665.54,4467317.51
270181857,Abierto,BAR ASTURIAS,PLAZA,4,28021,439928.54,4466553.51
270379680,Abierto,LA ABUELA,AVENIDA,63,28041,441484.54,4467625.5
170000257,Abierto,BAR PEMA,CALLE,11,28041,441020.55,4467961.51
270286727,Abierto,CASA MONICA,CALLE,37,28041,441052.54,4467692.51
180000366,Abierto,EL JARDIN DEL BACO,CALLE,9,28031,448357.53,4470622.41
270324826,Abierto,CERVECERIA LA TOMASA,CALLE,10,28031,448373.53,4470489.41
270032503,Abierto,BAR  LA HACIENDA,CALLE,8,28031,448410.53,4470525.41
270184841,Abierto,CERVECERIA LA TORRE,CALLE,7,28031,448430.53,4470416.41
270185092,Abierto,EL JARDIN DE BACO II,CALLE,6,28031,448569.53,4470101.41
170000673,Abierto,"ESTUDIO VILLAVERDE ALTO, SL",PASEO,15,28021,439620.54,4466399.52
270456985,Abierto,LAS BEGONIAS,PASEO,83,28021,439062.54,4466077.52
170000832,Abierto,BAR CASA CONEL,CALLE,50,28041,440871.54,4467123.51
170001203,Abierto,PASTELERIA PANADERIA CAFETERIA CHICO,CALLE,4,28021,442609.52,4466445.49
170000724,Abierto,BAR LAS NI?AS,PASEO,39,28021,439441.54,4466238.52
270181482,Abierto,BAR MEZQUITA,CALLE,12,28021,439235.54,4466441.52
170000308,Abierto,BAR RENATO,CALLE,45,28021,440117.54,4466833.51
270020492,Abierto,PEREZ CAFETERIA,CALLE,95,28021,441813.52,4466134.5
270539656,Abierto,100 MONTADITOS,CALLE,3,28021,442506.52,4466515.49
270183511,Abierto,RESTAURANTE GALLARDO,CALLE,1,28041,440611.54,4467373.51
270023348,Abierto,LA ATALAYA,CALLE,7,28041,440692.54,4467514.51
170000123,Abierto,ALQUEZAR LA BODEGA DE COTE,CALLE,2,28041,440699.55,4468091.51
270314735,Abierto,BAR SALINAS,AVENIDA,94,28021,442293.53,4467170.49
170000009,Abierto,JOSE,CALLE,78,28041,440729.54,4467406.51
270488062,Abierto,CAFE SAXO,CALLE,2,28021,439905.54,4466534.52
170000013,Abierto,CERVECERIA SAN CRISTOBAL,CALLE,22,28021,441634.52,4465850.5
270182385,Abierto,EL PORTON,CALLE,48,28041,441185.54,4467321.51
270418033,Abierto,DONER KEBAB PLAZA,PLAZA,6,28021,441338.53,4467062.5
270033353,Abierto,BAR PIRATA,CALLE,9,28021,441482.52,4465904.5
20000100,Abierto,CERVECERIA LA LASTRA,PASEO,132,28045,441013.58,4471631.52
20000172,Abierto,BAR SORIA,CALLE,28,28045,441427.58,4472681.52
20001101,Abierto,CERVECERIA CANTALEJO RESTAURANTE,PASEO,53,28005,439273.59,4472845.53
270267597,Abierto,BAR ORENSE,CALLE,11,28045,440774.58,4472081.52
20001080,Abierto,BAR EL CONQUISTADOR,CALLE,15,28045,440768.58,4472030.52
270055919,Abierto,CAFETERIA LOA,CALLE,29,28045,440749.58,4471854.52
200001508,Abierto,LA SEDE D'ANDRUBEN,CALLE,49,28037,446973.56,4475983.45
270458555,Abierto,"EL RINCON DE SIXTO,",CALLE,14,28026,440325.58,4471467.52
270524837,Abierto,SIN R?TULO,CALLE,137,28026,440615.58,4471127.52
270228855,Abierto,BAR ALFIL,CALLE,39,28026,440269.58,4471097.52
270157776,Abierto,BAR PISCIS,CALLE,50,28026,439993.58,4470543.52
270438751,Abierto,LA ALEGRIA,CALLE,131,28026,440593.58,4471152.52
270490968,Abierto,BAR CLEMENTE,CALLE,21,28026,440484.57,4470338.52
270477281,Abierto,CAFE BAR MARTIN,CALLE,27,28041,441484.56,4469450.51
270309378,Abierto,CAFETERIA HINOJAR,PASEO,3,28005,440297.59,4472901.53
285031450,Abierto,DON GERMAN,CALLE,1,28021,439207.53,4465219.52
20000056,Abierto,BAR RESTAURANTE MARTIN,PASEO,50,28005,439309.59,4472582.53
170000809,Abierto,RESTAURANTE PARQUE ROSALES CERVECERIA,CALLE,3,28021,442621.52,4466379.49
285021312,Abierto,EL BAR,AVENIDA,212,28026,440579.58,4471302.52
270519524,Abierto,8 1/2 LIBROS DE CINE,CALLE,11,28008,439456.6,4475119.54
270540061,Abierto,R?TULO NO INFORMADO,CALLE,201,28026,440957.57,4470488.52
270417284,Abierto,CAFETERIA 204,CALLE,204,28026,440752.58,4470914.52
270534735,Abierto,PARRILLA BONALMA,AVENIDA,16,28041,441235.55,4468763.51
270217569,Abierto,BAR,CALLE,164,28026,439357.59,4470780.53
270156329,Abierto,BAR LUZON,CALLE,1,28026,439941.59,4471234.53
270363433,Abierto,CAFETERIA HALLEY,CALLE,2,28041,440611.56,4468695.51
270432683,Abierto,BAR SANCHEZ,PLAZA,1,28041,440044.56,4469089.52
270280806,Abierto,VENTA CARMONA,CALLE,12,28041,440867.54,4467567.51
270183220,Abierto,CAFETERIA LUMAR,CALLE,5,28041,440933.54,4466974.51
270471784,Cerrado,BAR RESTAURANTE MARTIN,CALLE,1,28041,440717.55,4468045.51
270191062,Abierto,EL PILAR,CALLE,11,28041,441064.54,4467352.51
270181096,Abierto,EL PORTON,CALLE,6,28021,439861.53,4465979.51
170000796,Abierto,BAR EL RINCON DEL QUIJOTE,CALLE,37,28041,441057.54,4467705.51
270250040,Abierto,DI MADRID,CALLE,50,28041,441207.54,4467290.51
270033525,Abierto,EL ZAGUAN,CALLE,56,28041,441188.54,4467238.51
