id_distrito_local,desc_distrito_local
4,SALAMANCA
4,SALAMANCA
4,SALAMANCA
4,SALAMANCA
4,SALAMANCA
4,SALAMANCA
4,SALAMANCA
18,VILLA DE VALLECAS
4,SALAMANCA
4,SALAMANCA
17,VILLAVERDE
17,VILLAVERDE
4,SALAMANCA
4,SALAMANCA
18,VILLA DE VALLECAS
18,VILLA DE VALLECAS
20,SAN BLAS-CANILLEJAS
20,SAN BLAS-CANILLEJAS
17,VILLAVERDE
4,SALAMANCA
21,BARAJAS
18,VILLA DE VALLECAS
18,VILLA DE VALLECAS
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
18,VILLA DE VALLECAS
18,VILLA DE VALLECAS
18,VILLA DE VALLECAS
18,VILLA DE VALLECAS
18,VILLA DE VALLECAS
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
2,ARGANZUELA
2,ARGANZUELA
2,ARGANZUELA
2,ARGANZUELA
2,ARGANZUELA
2,ARGANZUELA
20,SAN BLAS-CANILLEJAS
12,USERA
12,USERA
12,USERA
12,USERA
12,USERA
12,USERA
12,USERA
2,ARGANZUELA
17,VILLAVERDE
2,ARGANZUELA
17,VILLAVERDE
12,USERA
9,MONCLOA-ARAVACA
12,USERA
12,USERA
12,USERA
12,USERA
12,USERA
12,USERA
12,USERA
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
17,VILLAVERDE
2,ARGANZUELA
2,ARGANZUELA
2,ARGANZUELA
