id_periodo_terraza,desc_periodo_terraza
2,Estacional
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
2,Estacional
1,Anual
2,Estacional
1,Anual
2,Estacional
2,Estacional
2,Estacional
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
2,Estacional
1,Anual
2,Estacional
1,Anual
1,Anual
2,Estacional
1,Anual
2,Estacional
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
1,Anual
2,Estacional
2,Estacional
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
1,Anual
1,Anual
1,Anual
2,Estacional
1,Anual
2,Estacional
2,Estacional
1,Anual
2,Estacional
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
1,Anual
1,Anual
2,Estacional
1,Anual
1,Anual
1,Anual
1,Anual
