id_terraza,id_local
32,270068967
33,270403150
34,270078567
36,40002021
40,40002808
41,270495851
44,40001459
50,180000457
51,270076142
52,270071068
54,280062208
56,170000773
58,270075832
59,40001037
60,180000598
63,270266255
66,200000837
67,280067055
68,270201818
69,270380946
72,210000683
73,280060978
74,270202022
76,170001120
77,170000836
78,170001098
79,270228707
80,170000967
81,170000259
82,270456160
83,170002005
84,270181857
85,270379680
86,170000257
87,270286727
88,180000366
89,270324826
91,270032503
95,270184841
98,270185092
101,170000673
102,270456985
103,170000832
104,170001203
105,170000724
106,270181482
107,170000308
108,270020492
109,270539656
110,270183511
111,270023348
112,170000123
113,270314735
114,170000009
115,270488062
116,170000013
117,270182385
119,270418033
120,270033353
121,20000100
122,20000172
124,20001101
125,270267597
126,20001080
127,270055919
128,200001508
129,270458555
130,270524837
131,270228855
132,270157776
135,270438751
136,270490968
137,270477281
138,270309378
145,285031450
146,20000056
147,170000809
148,285021312
149,270519524
151,270540061
152,270417284
153,270534735
154,270217569
155,270156329
156,270363433
157,270432683
159,270280806
160,270183220
161,270471784
163,270191062
164,270181096
165,170000796
167,270250040
168,270033525
171,170000283
172,170000006
173,270183106
175,270057250
177,280017278
179,280018318
