id_terraza,id_periodo_terraza
32,2
33,1
34,1
36,2
40,1
41,1
44,2
50,1
51,2
52,1
54,2
56,2
58,2
59,1
60,1
63,2
66,1
67,1
68,2
69,1
72,2
73,1
74,1
76,2
77,1
78,2
79,1
80,1
81,1
82,1
83,1
84,1
85,2
86,1
87,1
88,1
89,1
91,1
95,1
98,1
101,2
102,1
103,1
104,2
105,1
106,1
107,2
108,1
109,1
110,1
111,2
112,1
113,1
114,1
115,2
116,2
117,1
119,1
120,1
121,1
122,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,2
132,1
135,1
136,2
137,1
138,1
145,1
146,1
147,2
148,1
149,1
151,1
152,1
153,1
154,2
155,1
156,2
157,2
159,1
160,2
161,1
163,1
164,2
165,1
167,1
168,1
171,1
172,2
173,1
175,1
177,1
179,1
