CrimeId;OriginalCrimeTypeName;OffenseDate;CallTime;CallDateTime;Disposition;Address;City;State;AgencyId;Range;AddressType
160903280;Assault / Battery;2016-03-30T00:00:00;18:42;2016-03-30T18:42:00;REP;100 Block Of Chilton Av;San Francisco;CA;1;;Premise Address
160912272;Homeless Complaint;2016-03-31T00:00:00;15:31;2016-03-31T15:31:00;GOA;2300 Block Of Market St;San Francisco;CA;1;;Premise Address
160912590;Susp Info;2016-03-31T00:00:00;16:49;2016-03-31T16:49:00;GOA;2300 Block Of Market St;San Francisco;CA;1;;Premise Address
160912801;Report;2016-03-31T00:00:00;17:38;2016-03-31T17:38:00;GOA;500 Block Of 7th St;San Francisco;CA;1;;Premise Address
160912811;594;2016-03-31T00:00:00;17:42;2016-03-31T17:42:00;REP;Beale St/bryant St;San Francisco;CA;1;;Intersection
160913003;Ref'd;2016-03-31T00:00:00;18:29;2016-03-31T18:29:00;GOA;16th St/pond St;San Francisco;CA;1;;Intersection
160913050;Homeless Complaint;2016-03-31T00:00:00;18:43;2016-03-31T18:43:00;ADV;Berwick Pl/harrison St;San Francisco;CA;1;;Intersection
160913056;Homeless Complaint;2016-03-31T00:00:00;18:47;2016-03-31T18:47:00;HAN;Florida St/mariposa St;San Francisco;CA;1;;Intersection
160913078;Agg Assault / Adw Dv;2016-03-31T00:00:00;18:52;2016-03-31T18:52:00;ND;100 Block Of Genebern Wy;San Francisco;CA;1;;Premise Address
160913103;Encampment;2016-03-31T00:00:00;18:57;2016-03-31T18:57:00;ADV;2700 Block Of Folsom St;San Francisco;CA;1;;Premise Address
160913118;Burglary;2016-03-31T00:00:00;18:59;2016-03-31T18:59:00;REP;400 Block Of Mission St;San Francisco;CA;1;;Premise Address
160913148;Suspicious Person;2016-03-31T00:00:00;19:08;2016-03-31T19:08:00;GOA;700 Block Of Eddy St;San Francisco;CA;1;;Premise Address
160913167;Ip;2016-03-31T00:00:00;19:13;2016-03-31T19:13:00;HAN;1700 Block Of Harrison St;San Francisco;CA;1;;Common Location
160913193;Homeless Complaint;2016-03-31T00:00:00;19:18;2016-03-31T19:18:00;GOA;1800 Block Of Market St;San Francisco;CA;1;;Premise Address
160913249;Homeless Complaint;2016-03-31T00:00:00;19:37;2016-03-31T19:37:00;ADV;0 Block Of Elgin Pk;San Francisco;CA;1;;Premise Address
160913265;Homeless Complaint;2016-03-31T00:00:00;19:40;2016-03-31T19:40:00;HAN;Vine Tr/pine St;San Francisco;CA;1;;Intersection
160913266;Encampment;2016-03-31T00:00:00;19:41;2016-03-31T19:41:00;HAN;1600 Block Of 15th St;San Francisco;CA;1;;Premise Address
160913285;Arrest Made;2016-03-31T00:00:00;19:49;2016-03-31T19:49:00;ARR;Jones St/golden Gate Av;San Francisco;CA;1;;Intersection
160913298;Tent;2016-03-31T00:00:00;19:54;2016-03-31T19:54:00;ADV;100 Block Of South Van Ness Av;San Francisco;CA;1;;Premise Address
160913309;Intoxicated Person;2016-03-31T00:00:00;19:57;2016-03-31T19:57:00;HAN;300 Block Of Ofarrell St;San Francisco;CA;1;;Premise Address
160913310;Guitar;2016-03-31T00:00:00;19:55;2016-03-31T19:55:00;GOA;500 Block Of Valencia St;San Francisco;CA;1;;Premise Address
160913367;H&r Veh Accident;2016-03-31T00:00:00;20:15;2016-03-31T20:15:00;REP;Larkin St/hayes St;San Francisco;CA;1;;Intersection
160913375;Burglary;2016-03-31T00:00:00;20:18;2016-03-31T20:18:00;HAN;600 Block Of Faxon Av;San Francisco;CA;1;;Premise Address
160913415;Report;2016-03-31T00:00:00;20:35;2016-03-31T20:35:00;UTL;300 Block Of Potrero Av;San Francisco;CA;1;;Premise Address
160913428;Music;2016-03-31T00:00:00;20:44;2016-03-31T20:44:00;UTL;500 Block Of Grove St;San Francisco;CA;1;;Premise Address
160913451;Person Dumping;2016-03-31T00:00:00;20:51;2016-03-31T20:51:00;GOA;Natoma St/10th St;San Francisco;CA;1;;Intersection
160913455;Vandalism;2016-03-31T00:00:00;20:53;2016-03-31T20:53:00;ND;1600 Block Of Sunnydale Av;San Francisco;CA;1;;Premise Address
160913472;Petty Theft;2016-03-31T00:00:00;20:57;2016-03-31T20:57:00;GOA;Sutter St/montgomery St;San Francisco;CA;1;;Intersection
160913501;415;2016-03-31T00:00:00;21:07;2016-03-31T21:07:00;ADV;600 Block Of California St;San Francisco;CA;1;;Common Location
160913509;415;2016-03-31T00:00:00;21:10;2016-03-31T21:10:00;GOA;500 Blk Raymond Av;San Francisco;CA;1;;Geo-Override
160913548;Noise Nuisance;2016-03-31T00:00:00;21:19;2016-03-31T21:19:00;UTL;700 Block Of Ellis St;San Francisco;CA;1;;Premise Address
160913555;Homeless Complaint;2016-03-31T00:00:00;21:20;2016-03-31T21:20:00;GOA;100 Block Of 6th St;San Francisco;CA;1;;Premise Address
160913576;Fraud;2016-03-31T00:00:00;21:26;2016-03-31T21:26:00;REP;900 Block Of Mission St;San Francisco;CA;1;;Premise Address
160913597;Petty Theft;2016-03-31T00:00:00;21:35;2016-03-31T21:35:00;HAN;700 Block Of Eddy St;San Francisco;CA;1;;Premise Address
160913615;Suspicious Person;2016-03-31T00:00:00;21:44;2016-03-31T21:44:00;HAN;1600 Block Of Polk St;San Francisco;CA;1;;Premise Address
160913618;Rep;2016-03-31T00:00:00;21:41;2016-03-31T21:41:00;REP;800 Block Of Van Ness Av;San Francisco;CA;1;;Premise Address
160913619;Meet W/citizen;2016-03-31T00:00:00;21:46;2016-03-31T21:46:00;ND;Vallejo St/columbus Av;San Francisco;CA;1;;Intersection
160913632;Prisoner Transport;2016-03-31T00:00:00;21:50;2016-03-31T21:50:00;HAN;800 Block Of Vallejo St;San Francisco;CA;1;;Common Location
160913643;H&r Veh Accident;2016-03-31T00:00:00;21:53;2016-03-31T21:53:00;ND;Lisbon St/brazil Av;San Francisco;CA;1;;Intersection
160913664;Homeless Complaint;2016-03-31T00:00:00;22:00;2016-03-31T22:00:00;GOA;200 Block Of Golden Gate Av;San Francisco;CA;1;;Premise Address
160913711;Poss;2016-03-31T00:00:00;22:11;2016-03-31T22:11:00;ARR;900 Block Of Geary St;San Francisco;CA;1;;Premise Address
160913745;Trespasser;2016-03-31T00:00:00;22:23;2016-03-31T22:23:00;ADV;900 Block Of Ofarrell St;San Francisco;CA;1;;Premise Address
160913750;H&r Veh Accident;2016-03-31T00:00:00;22:22;2016-03-31T22:22:00;HAN;Duboce Av/guerrero St;San Francisco;CA;1;;Intersection
160913758;Stolen Vehicle;2016-03-31T00:00:00;22:26;2016-03-31T22:26:00;UTL;200 Block Of Naples St;San Francisco;CA;1;;Premise Address
160913768;Suspicious Person;2016-03-31T00:00:00;22:33;2016-03-31T22:33:00;GOA;400 Block Of Ellis St;San Francisco;CA;1;;Premise Address
160913774;Homeless Complaint;2016-03-31T00:00:00;22:29;2016-03-31T22:29:00;ADV;Lloyd St/scott St;San Francisco;CA;1;;Intersection
160913783;Fight No Weapon;2016-03-31T00:00:00;22:38;2016-03-31T22:38:00;HAN;500 Block Of South Van Ness Av;San Francisco;CA;1;;Premise Address
160913802;Check For Ped;2016-03-31T00:00:00;22:46;2016-03-31T22:46:00;HAN;1200 Block Of Silver Av;San Francisco;CA;1;;Premise Address
160913813;415;2016-03-31T00:00:00;22:48;2016-03-31T22:48:00;GOA;600 Block Of Dolores St;San Francisco;CA;1;;Common Location
160913814;Encampment;2016-03-31T00:00:00;22:48;2016-03-31T22:48:00;ADV;6th St/natoma St;San Francisco;CA;1;;Intersection
160913837;Juvenile Disturbance;2016-03-31T00:00:00;22:55;2016-03-31T22:55:00;GOA;100 Block Of Elk St;San Francisco;CA;1;;Common Location
160913872;Party;2016-03-31T00:00:00;23:08;2016-03-31T23:08:00;Not recorded;500 Block Of Grove St;San Francisco;CA;1;;Premise Address
160913879;Lltd;2016-03-31T00:00:00;23:03;2016-03-31T23:03:00;HAN;4100 Block Of Anza St;San Francisco;CA;1;;Premise Address
